Sample	Name	barcode	barcode_quality	hifi_reads	hifi_read_length	hifi_read_quality	hifi_yield_bp	polymerase_read_length	path_to_met_result
36604_1_1	6850_SN_A1	bc2097--bc2097	98.05984053768255	154143	10749	Q35	1656913710	120672	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002374/outputs/motifs.gff
36604_1_10	SB0804_TSB_F1	bc2106--bc2106	98.13615897480301	138588	9772	Q36	1354314057	118955	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002375/outputs/motifs.gff
36604_1_11	SB0804_TSB_F2	bc2107--bc2107	97.38704170782465	104273	9993	Q36	1042060828	118958	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002376/outputs/motifs.gff
36604_1_12	SB0804_TSB_F3	bc2108--bc2108	97.30451573433258	104612	10133	Q36	1060060882	119479	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002377/outputs/motifs.gff
36604_1_13	SB1002_SN_G1	bc2109--bc2109	98.10010138953527	120328	10472	Q35	1260152568	119629	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002378/outputs/motifs.gff
36604_1_14	SB1002_SN_G2	bc2110--bc2110	98.00962859812742	109154	11097	Q34	1211361185	121096	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002379/outputs/motifs.gff
36604_1_15	SB1002_SN_G3	bc2111--bc2111	97.66446754921868	114743	11260	Q34	1292115856	121412	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002380/outputs/motifs.gff
36604_1_16	SB1002_TSB_H1	bc2112--bc2112	97.86114194810992	87377	10655	Q35	931017821	120482	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002381/outputs/motifs.gff
36604_1_17	SB1002_TSB_H2	bc2113--bc2113	97.25588818268953	107461	10770	Q35	1157429471	120667	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002382/outputs/motifs.gff
36604_1_18	SB1002_TSB_H3	bc2114--bc2114	97.40646510412128	114770	10178	Q35	1168139687	119601	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002383/outputs/motifs.gff
36604_1_2	6850_SN_A2	bc2098--bc2098	97.75982513693	137479	10751	Q35	1478098473	120381	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002384/outputs/motifs.gff
36604_1_3	6850_SN_A3	bc2099--bc2099	97.48167245083457	121020	10601	Q35	1282949359	120258	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002385/outputs/motifs.gff
36604_1_4	6850_TSB_B1	bc2100--bc2100	97.2434561650435	105863	10206	Q35	1080502865	119650	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002386/outputs/motifs.gff
36604_1_5	6850_TSB_B2	bc2101--bc2101	97.75289138695113	120271	10638	Q35	1279503790	120410	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002387/outputs/motifs.gff
36604_1_6	6850_TSB_B3	bc2102--bc2102	97.52799062165514	117718	9268	Q37	1091062254	117935	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002388/outputs/motifs.gff
36604_1_7	SB0804_SN_E1	bc2103--bc2103	97.20904399194163	124591	10235	Q35	1275289079	119485	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002389/outputs/motifs.gff
36604_1_8	SB0804_SN_E2	bc2104--bc2104	98.10978615908026	147259	10166	Q35	1497171991	119605	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002390/outputs/motifs.gff
36604_1_9	SB0804_SN_E3	bc2105--bc2105	98.02278185157122	77869	11236	Q34	874946013	121436	/misc/GT/software/SMRTtools/SMRT_Link_v10/userdata/jobs_root/0000/0000002/0000002391/outputs/motifs.gff
