proteinID	LocusTag	location	proteinID2	description	strand	geneStart	geneEnd	gap_start	gap_end	gap_length	gap_treatment	gap_strand	overlap_type
AGU55316.1	RSAU_001490	complement(1608683..1609456)	AGU55316.1	molybdopterin/thiamine biosynthesis dinucleotide-utilizing enzyme, putative	-	1608683	1609456	1608598	1697363	88765	PASN	+	Gene within gap
AGU55317.1	RSAU_001491	complement(1609917..1611683)	AGU55317.1	aspartyl-tRNA synthetase	-	1609917	1611683	1608598	1697363	88765	PASN	+	Gene within gap
AGU55318.1	RSAU_001492	complement(1611699..1612961)	AGU55318.1	histidyl-tRNA synthetase	-	1611699	1612961	1608598	1697363	88765	PASN	+	Gene within gap
AGU55319.1	RSAU_001493	complement(1613422..1614297)	AGU55319.1	N-acetylmuramoyl-L-alanine amidase	-	1613422	1614297	1608598	1697363	88765	PASN	+	Gene within gap
AGU55320.1	RSAU_001494	complement(1614294..1614746)	AGU55320.1	D-tyrosyl-tRNA(Tyr) deacylase	-	1614294	1614746	1608598	1697363	88765	PASN	+	Gene within gap
AGU55321.1	RSAU_001495	complement(1614758..1616947)	AGU55321.1	GTP pyrophosphokinase	-	1614758	1616947	1608598	1697363	88765	PASN	+	Gene within gap
AGU55322.1	RSAU_001496	complement(1617374..1617892)	AGU55322.1	adenine phosphoribosyltransferase	-	1617374	1617892	1608598	1697363	88765	PASN	+	Gene within gap
AGU55323.1	RSAU_001497	complement(1617914..1620187)	AGU55323.1	single-stranded-DNA-specific exonuclease RecJ	-	1617914	1620187	1608598	1697363	88765	PASN	+	Gene within gap
AGU55324.1	RSAU_001498	complement(1620390..1622669)	AGU55324.1	bifunctional preprotein translocase subunit SecD/SecF	-	1620390	1622669	1608598	1697363	88765	PASN	+	Gene within gap
AGU55325.1	RSAU_001499	complement(1622944..1623204)	AGU55325.1	preprotein translocase, YajC subunit	-	1622944	1623204	1608598	1697363	88765	PASN	+	Gene within gap
AGU55326.1	RSAU_001500	complement(1623223..1624362)	AGU55326.1	queuine tRNA-ribosyltransferase	-	1623223	1624362	1608598	1697363	88765	PASN	+	Gene within gap
AGU55327.1	RSAU_001501	complement(1624385..1625410)	AGU55327.1	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	-	1624385	1625410	1608598	1697363	88765	PASN	+	Gene within gap
AGU55328.1	RSAU_001502	complement(1625412..1626416)	AGU55328.1	Holliday junction DNA helicase RuvB	-	1625412	1626416	1608598	1697363	88765	PASN	+	Gene within gap
AGU55329.1	RSAU_001503	complement(1626448..1627050)	AGU55329.1	Holliday junction DNA helicase RuvA	-	1626448	1627050	1608598	1697363	88765	PASN	+	Gene within gap
AGU55330.1	RSAU_001504	complement(1627064..1627522)	AGU55330.1	ACT domain protein	-	1627064	1627522	1608598	1697363	88765	PASN	+	Gene within gap
AGU55331.1	RSAU_001505	complement(1627532..1628824)	AGU55331.1	Spo0B-related GTP-binding protein	-	1627532	1628824	1608598	1697363	88765	PASN	+	Gene within gap
AGU55332.1	RSAU_001506	complement(1629310..1629594)	AGU55332.1	50S ribosomal protein L27	-	1629310	1629594	1608598	1697363	88765	PASN	+	Gene within gap
AGU55333.1	RSAU_001507	complement(1629606..1629926)	AGU55333.1	hypothetical protein with DUF464	-	1629606	1629926	1608598	1697363	88765	PASN	+	Gene within gap
AGU55334.1	RSAU_001509	complement(1630477..1631007)	AGU55334.1	cell shape determinant MreD	-	1630477	1631007	1608598	1697363	88765	PASN	+	Gene within gap
AGU55335.1	RSAU_001510	complement(1631007..1631849)	AGU55335.1	cell shape-determinant MreC	-	1631007	1631849	1608598	1697363	88765	PASN	+	Gene within gap
AGU55336.1	RSAU_001511	complement(1632241..1632714)	AGU55336.1	hypothetical protein	-	1632241	1632714	1608598	1697363	88765	PASN	+	Gene within gap
AGU55337.1	RSAU_001512	1632856..1633071	AGU55337.1	hypothetical protein	+	1632856	1633071	1608598	1697363	88765	PASN	+	Gene within gap
AGU55338.1	RSAU_001513	complement(1633540..1633656)	AGU55338.1	hypothetical protein	-	1633540	1633656	1608598	1697363	88765	PASN	+	Gene within gap
AGU55339.1	RSAU_001515	complement(1634547..1636961)	AGU55339.1	cadmium translocating P-type ATPase CadA, putative	-	1634547	1636961	1608598	1697363	88765	PASN	+	Gene within gap
AGU55340.1	RSAU_001516	complement(1636954..1637319)	AGU55340.1	cadmium efflux system repressor, putative	-	1636954	1637319	1608598	1697363	88765	PASN	+	Gene within gap
