protein_Id	nrPeptides	IDcolumn	fasta.id	description	protein_length	nr_tryptic_peptides	CON	REV	diff.B0403vsAll	diff.B0403vsAncestor	diff.B0804vsAll	diff.B0804vsAncestor	diff.B1002vsAll	diff.B1002vsAncestor	diff.PASNvsTSB_all	diff.PASNvsTSB_givenAncestor	diff.PASNvsTSB_givenB0403	diff.PASNvsTSB_givenB0804	diff.PASNvsTSB_givenB1002	p.value.B0403vsAll	p.value.B0403vsAncestor	p.value.B0804vsAll	p.value.B0804vsAncestor	p.value.B1002vsAll	p.value.B1002vsAncestor	p.value.PASNvsTSB_all	p.value.PASNvsTSB_givenAncestor	p.value.PASNvsTSB_givenB0403	p.value.PASNvsTSB_givenB0804	p.value.PASNvsTSB_givenB1002	FDR.B0403vsAll	FDR.B0403vsAncestor	FDR.B0804vsAll	FDR.B0804vsAncestor	FDR.B1002vsAll	FDR.B1002vsAncestor	FDR.PASNvsTSB_all	FDR.PASNvsTSB_givenAncestor	FDR.PASNvsTSB_givenB0403	FDR.PASNvsTSB_givenB0804	FDR.PASNvsTSB_givenB1002	statistic.B0403vsAll	statistic.B0403vsAncestor	statistic.B0804vsAll	statistic.B0804vsAncestor	statistic.B1002vsAll	statistic.B1002vsAncestor	statistic.PASNvsTSB_all	statistic.PASNvsTSB_givenAncestor	statistic.PASNvsTSB_givenB0403	statistic.PASNvsTSB_givenB0804	statistic.PASNvsTSB_givenB1002	mean_iBAQ	AGU	LocusTag	parsedProteinDescription	gene
lcl_CP006706.1_prot_AGU53885.1_1	25	lcl_CP006706.1_prot_AGU53885.1_1	lcl_CP006706.1_prot_AGU53885.1_1	[gene=dnaA] [locus_tag=RSAU_000001] [protein=chromosomal replicator initiator protein] [protein_id=AGU53885.1] [location=101..1462] [gbkey=CDS] BLASTORTHO sp_Q2G2H5_DNAA_STAA8 evalue=0	453	28	FALSE	FALSE	0.2722700257957097	0.2037582690057661	-0.128434872499779	-0.09677040471585042	-0.1444274870839523	-0.1087648656539804	-0.2041130405921701	-0.2727371144199472	-0.2910111648857344	-0.1775586094365462	-0.07514527362645278	7.139394314948704e-5	0.005883742370444632	0.02650355051165986	0.1550176958597528	0.01411616117903268	0.1132221190105737	3.205034977714064e-4	0.008592391777942332	0.0054734244265337104	0.07026395932929323	0.4266829810724081	0.001113745513131998	0.06591235318056379	0.04735793786645198	0.2340582365010841	0.0575501833826414	0.373505964205621	6.961056598085994e-4	0.021180981576456	0.0128222607758645	0.1386846878262336	0.5351375180674015	5.123768612495098	3.12351603863694	-2.416977654962074	-1.484659117057558	-2.717937910864798	-1.665367934522598	-4.435369411247854	-2.950632098118455	-3.157487620780337	-1.925376247669745	-0.8134020444644297	12261.337523809525	AGU53885.1	RSAU_000001	chromosomal replicator initiator protein	dnaA
lcl_CP006706.1_prot_AGU53886.1_2	19	lcl_CP006706.1_prot_AGU53886.1_2	lcl_CP006706.1_prot_AGU53886.1_2	[gene=dnaN] [locus_tag=RSAU_000002] [protein=DNA polymerase III, beta subunit] [protein_id=AGU53886.1] [location=1740..2873] [gbkey=CDS] BLASTORTHO tr_Q2G2H4_Q2G2H4_STAA8 evalue=0	377	21	FALSE	FALSE	-0.03678442597894524	-0.08734149062108741	0.04502328488877703	-0.0259857074702957	-0.08790975375900305	-0.1256854864561308	-0.2231488937028036	-0.2984561506105675	-0.1324645282799773	-0.02971151947442387	-0.4319633764462456	0.5353610893614102	0.2372568461755784	0.4492691245042951	0.7201479707993175	0.1483399095431895	0.09589596306308096	3.265621829512474e-4	0.008625469981237371	0.206073643739263	0.7721011579718506	4.669958829540828e-4	0.6688156485266779	0.4673473582703411	0.5247322977608759	0.7893268629823068	0.2813126825797906	0.3480459365289468	7.06697896519346e-4	0.02120664170157046	0.2828341608495759	0.8385555926375855	0.001847293840799378	-0.6319729388049737	-1.222691937104432	0.7735202306024915	-0.363960025598675	-1.510329003489095	-1.757524575154757	-4.426888721216431	-2.948855980482852	-1.312043483011694	-0.2940632890037428	-4.269637254725506	46849.03336329365	AGU53886.1	RSAU_000002	DNA polymerase III, beta subunit	dnaN
lcl_CP006706.1_prot_AGU53887.1_3	1	lcl_CP006706.1_prot_AGU53887.1_3	lcl_CP006706.1_prot_AGU53887.1_3	[gene=yaaA] [locus_tag=RSAU_000003] [protein=S4 domain protein YaaA] [protein_id=AGU53887.1] [location=3263..3499] [gbkey=CDS] BLASTORTHO tr_Q2G276_Q2G276_STAA8 evalue=3.4881e-52	78	4	FALSE	FALSE	0.4116902289774979	0.2903724301336084	0.2513813718088213	0.1701407872571009	-0.6875985895856727	-0.5340941837887696	-1.099800163444161	-0.5960919032141762	-1.438725441952593	-0.7570208770550445	-1.607362431554831	0.1177859736350921	0.3569837798886273	0.3290997513493783	0.5867935806605427	0.01335661037285537	0.09943620055866749	8.053646099286364e-5	0.1875184629458294	0.003923683105906503	0.0993642546240128	0.001674948827231333	0.2226638953649685	0.5904459982578201	0.4060556766993017	0.6732180595444504	0.05533893535543312	0.3528007493250935	1.952465013799964e-4	0.2719744528462378	0.009568188921404762	0.1830599049439452	0.005405385630049484	1.642882937133448	0.9454473243488012	1.003157562139967	0.5534551076697592	-2.743917418766502	-1.737587849848694	-5.067796971721852	-1.370359664994768	-3.308983933546227	-1.738359191766037	-3.69413569155807	10251.223645833332	AGU53887.1	RSAU_000003	S4 domain protein YaaA	yaaA
lcl_CP006706.1_prot_AGU53888.1_4	8	lcl_CP006706.1_prot_AGU53888.1_4	lcl_CP006706.1_prot_AGU53888.1_4	[gene=recF] [locus_tag=RSAU_000004] [protein=DNA replication and repair protein] [protein_id=AGU53888.1] [location=3496..4608] [gbkey=CDS] BLASTORTHO sp_Q2G275_RECF_STAA8 evalue=0	370	22	FALSE	FALSE	0.3805898748257941	0.2667300522603975	-0.1844189025745293	-0.1570265307898452	-0.221120777396529	-0.184552936906345	-1.197169624208599	-1.146562813790645	-1.114271162348998	-1.337349444340138	-1.190495076354614	0.02066813172321816	0.1641644376591151	0.23479790922014	0.4047814621525967	0.1577843050901945	0.3293149266718647	3.134610052450159e-8	3.480025223417991e-4	4.54162624332326e-4	7.184936194994632e-5	2.410023764092199e-4	0.06091859883819717	0.3756444400570729	0.3059022869578294	0.5007296605887677	0.2933316511210455	0.6529341721845424	1.561898139511743e-7	0.001339738105558655	0.001552563341699025	5.138731932617834e-4	0.00104844421291714	2.537005555688563	1.450515398730873	-1.229333230737486	-0.8532570749215657	-1.473987296666642	-1.002779168686468	-9.214870691984759	-4.402212109993211	-4.281040896502494	-5.130435675207252	-4.569918188482663	1081.2806178030303	AGU53888.1	RSAU_000004	DNA replication and repair protein	recF
lcl_CP006706.1_prot_AGU53889.1_5	33	lcl_CP006706.1_prot_AGU53889.1_5	lcl_CP006706.1_prot_AGU53889.1_5	[gene=gyrB] [locus_tag=RSAU_000005] [protein=DNA gyrase, B subunit] [protein_id=AGU53889.1] [location=4630..6552] [gbkey=CDS] BLASTORTHO tr_Q2G274_Q2G274_STAA8 evalue=0	640	36	FALSE	FALSE	-0.08042535061851684	0.01289027163093446	0.2476882911147101	0.2589755029308546	-0.06965056103643041	0.0209713638174993	-0.05587778650906855	-0.09951430380608137	-0.1681653485778961	0.1605908830118052	-0.116422376664102	0.0731434264642833	0.806761260478265	1.506893909329307e-5	9.476198330651606e-5	0.1166600840209836	0.6914850708985265	0.1441830605103198	0.1931618293215839	0.03403226889074923	0.04191098657047367	0.130819149210036	0.1569608936326845	0.9116002856641782	8.292538875266184e-5	5.339808691229141e-4	0.2397344681943237	0.8956884998132769	0.1835801352416705	0.278432806364163	0.06220155284388423	0.09061444337823099	0.2105458410032768	-1.903288907115831	0.2482466014706183	5.861614195966786	4.99688583342447	-1.648300432332972	0.4033182230354905	-1.526934176813599	-1.352165401468158	-2.295033689071875	2.191673964284743	-1.583538214499296	22885.52853275463	AGU53889.1	RSAU_000005	DNA gyrase, B subunit	gyrB
lcl_CP006706.1_prot_AGU53890.1_6	44	lcl_CP006706.1_prot_AGU53890.1_6	lcl_CP006706.1_prot_AGU53890.1_6	[gene=gyrA] [locus_tag=RSAU_000006] [protein=DNA gyrase, A subunit] [protein_id=AGU53890.1] [location=6589..9249] [gbkey=CDS] BLASTORTHO sp_Q2G2Q0_GYRA_STAA8 evalue=0	886	40	FALSE	FALSE	-0.009619193939014415	0.04276707152141188	0.2033782415746075	0.2025151481566283	-0.1271170916680294	-0.04535635177534939	0.01264601632582402	-0.0916317240850465	0.007431808965034092	0.1529494565520091	-0.01816547612870068	0.8441160720464391	0.4794519566668778	5.187236270347763e-4	0.003041795203084802	0.01678087717416199	0.4542213449738469	0.7654885279578665	0.2893228080003416	0.9301700461898322	0.08425922222368688	0.8309445577316744	0.9035324543622951	0.6941582553741614	0.001615607963368731	0.009123359308267244	0.06432669583428761	0.7554031532314381	0.8026221035396917	0.3877671731867042	0.9499959108934527	0.1609051746220863	0.8718640435069331	-0.199493724220645	0.7222380910764018	4.217888015814511	3.424169897024634	-2.636298029723541	-0.7650109489070943	0.3028402970450818	-1.091980783740466	0.08887175349728015	1.82833224614908	-0.2166347495150983	23224.394379895835	AGU53890.1	RSAU_000006	DNA gyrase, A subunit	gyrA
lcl_CP006706.1_prot_AGU53891.1_7	8	lcl_CP006706.1_prot_AGU53891.1_7	lcl_CP006706.1_prot_AGU53891.1_7	[locus_tag=RSAU_000007] [protein=YxkO-related protein] [protein_id=AGU53891.1] [location=complement(9333..10145)] [gbkey=CDS] BLASTORTHO sp_Q2G2P8_NNRD_STAA8 evalue=0	270	13	FALSE	FALSE	-0.04618697293700324	-0.2528261808391469	-0.4844779800399096	-0.5815444361663267	0.2397503514617201	-0.03837318754010444	1.394561824953707	1.491046751749793	1.449645150330385	1.01672569270596	1.62082970502869	0.7673924358026912	0.1966208418526321	0.005545576996405811	0.006450951307875693	0.1364707959900132	0.8411350442658886	4.451096024496936e-9	2.72676746111816e-5	3.740939516468383e-5	0.001314945278387995	1.006244079586194e-5	0.8503409696294182	0.4209948297846024	0.01216230456179954	0.0170264332651834	0.2684524210593022	0.9550066874902013	2.697725090522805e-8	1.47877736804408e-4	1.770711371128368e-4	0.005400463031982139	6.936425180971006e-5	-0.3003020249627393	-1.341070268959998	-3.150016318546862	-3.082222442173277	1.558827337043371	-0.2033725348241582	10.46998119729277	5.583991292127533	5.432424921806882	3.804380614640605	6.068708727203542	7500.357608974358	AGU53891.1	RSAU_000007	YxkO-related protein	NA
lcl_CP006706.1_prot_AGU53893.1_9	31	lcl_CP006706.1_prot_AGU53893.1_9	lcl_CP006706.1_prot_AGU53893.1_9	[gene=serS] [locus_tag=RSAU_000009] [protein=seryl-tRNA synthetase] [protein_id=AGU53893.1] [location=12364..13650] [gbkey=CDS] BLASTORTHO sp_P95689_SYS_STAA8 evalue=0	428	25	FALSE	FALSE	-0.06182209669899407	-0.2295479043557324	-0.4565563988531554	-0.5255986309713534	0.2741367197768336	0.02242120800113835	0.2902451130849422	0.33643582815031853	0.7461921486109067	0.1184802423159813	-0.04012776673743804	0.5236595762357974	0.06452468153386987	1.429388762355247e-4	2.753684778702346e-4	0.009889731127213744	0.8497479873034622	0.002418050793211256	0.05662368114082735	2.651922720170251e-4	0.4823264377851492	0.8107332889469309	0.6597228088251549	0.2258450188653147	5.331233762297949e-4	0.00124287934606295	0.04590950147536492	0.9551461562292147	0.004333649473547446	0.1016567492540245	9.771355970926714e-4	0.5945321294062029	0.8576475340167431	-0.6504028012191	-1.969516268684343	-4.80322694609335	-4.507613389676651	2.884070582853092	0.192198053571508	3.525924084656961	2.037851380232284	4.524965799578902	0.7175380773907841	-0.2430483442181146	39954.315675666665	AGU53893.1	RSAU_000009	seryl-tRNA synthetase	serS
lcl_CP006706.1_prot_AGU53896.1_12	7	lcl_CP006706.1_prot_AGU53896.1_12	lcl_CP006706.1_prot_AGU53896.1_12	[locus_tag=RSAU_000012] [protein=homoserine O-acetyltransferase, putative] [protein_id=AGU53896.1] [location=15682..16650] [gbkey=CDS] BLASTORTHO tr_Q2G2T4_Q2G2T4_STAA8 evalue=0	322	13	FALSE	FALSE	0.4070735591766131	-0.3086699283910324	-2.046149395675539	-2.148587144530147	0.8204423728009366	0.001356681827210382	-2.343467349017226	-3.523304870648698	-1.377160295877723	-1.951750607479101	-2.521653622063381	0.3971668771548855	0.6153061112450797	4.220754443011544e-4	0.002426978552202771	0.09805056175633167	0.9982325316836984	2.840997756393505e-5	0.001128985583675445	0.105358483851454	0.02707710693729717	0.006128196793703883	0.5415747229251903	0.7968432334280252	0.001354567704966495	0.007569371138194381	0.2117558340400033	0.9987721168359599	7.573179754784469e-5	0.003652477734955528	0.1620764676581534	0.06311281059362574	0.01634476385233966	0.868627548907172	-0.5119280258182072	-4.366143892662935	-3.55965949680848	1.750688128079738	0.00224814421540644	-5.659811039933865	-3.913760896045769	-1.711011022194922	-2.420761086883294	-3.130706564056095	1115.2041987179484	AGU53896.1	RSAU_000012	homoserine O-acetyltransferase, putative	NA
lcl_CP006706.1_prot_AGU53897.1_13	1	lcl_CP006706.1_prot_AGU53897.1_13	lcl_CP006706.1_prot_AGU53897.1_13	[locus_tag=RSAU_000013] [protein=hypothetical protein] [protein_id=AGU53897.1] [location=16958..17881] [gbkey=CDS] BLASTORTHO tr_Q2G2T2_Q2G2T2_STAA8 evalue=0	307	3	FALSE	FALSE	0.6379840467137917	-0.2623672603204408	-2.151018111886625	-2.354118879270753	0.5252270046984537	-0.3469350418319443	0.3961560441042505	-0.7626788906105412	2.070939800122802	0.5095395532362801	-0.2331762863315387	0.2065540598486521	0.6581532581027538	8.021802108036644e-4	0.001553691801285817	0.3292382085616952	0.5822137143945105	0.3771817555783545	0.3686804362642103	0.02311557834886696	0.588577707765145	0.8035732403886671	0.3356503472540596	0.827280894715816	0.002343829475866081	0.005275659591427072	0.4897623102484918	0.8395971794818303	0.4334811463853736	0.4673449161587653	0.04486998699475123	0.689756600129399	0.8522057837832301	1.316591091934742	-0.4508680277501319	-4.121508178319357	-3.809811351655216	1.006373392848936	-0.561591171126159	0.9083743662215028	-0.9252250724646286	2.513345928539811	0.5521029127259522	-0.2529203102923924	1030.9591045454545	AGU53897.1	RSAU_000013	hypothetical protein	NA
