LocusTag	gene_description	protein_Id	nrPeptides	IDcolumn	protein_length	mean_iBAQ	AGU	gene	diff.PASNvsTSB_givenAncestor	FDR.PASNvsTSB_givenAncestor	statistic.PASNvsTSB_givenAncestor
RSAU_000228	putative WxG domain protein	lcl_CP006706.1_prot_AGU54100.1_216	7	lcl_CP006706.1_prot_AGU54100.1_216	97	18583.049079761906	AGU54100.1	NA	-1.091107621733329	0.05891750517819656	-2.372308125952203
RSAU_000229	EsaA	lcl_CP006706.1_prot_AGU54101.1_217	44	lcl_CP006706.1_prot_AGU54101.1_217	1009	3746.3175842320265	AGU54101.1	esaA	3.725459187273865e-4	0.9980435499496881	0.002486520726916353
RSAU_000230	type VII secretion protein EssA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000231	esaB	lcl_CP006706.1_prot_AGU54103.1_219	2	lcl_CP006706.1_prot_AGU54103.1_219	80	864.649375	AGU54103.1	esaB	-1.825671436191154	0.00392207750623041	-4.33678516093104
RSAU_000232	type VII secretion protein EssB	lcl_CP006706.1_prot_AGU54104.1_220	7	lcl_CP006706.1_prot_AGU54104.1_220	444	540.326148015873	AGU54104.1	essB	-0.4117424867622815	0.09140277403527232	-2.103521546442188
RSAU_000233	type VII secretion protein EssC	lcl_CP006706.1_prot_AGU54105.1_221	32	lcl_CP006706.1_prot_AGU54105.1_221	1479	948.0528482222225	AGU54105.1	essC	-1.284113486323185	2.012639016401425e-5	-6.751800677274219
RSAU_000234	virulence protein EsaC	lcl_CP006706.1_prot_AGU54106.1_222	5	lcl_CP006706.1_prot_AGU54106.1_222	130	981.879246875	AGU54106.1	esaC	-1.161956485110849	0.2081573615386216	-1.610425279539616
RSAU_000235	virulence protein EsxB	lcl_CP006706.1_prot_AGU54107.1_223	4	lcl_CP006706.1_prot_AGU54107.1_223	104	1852.9983235294114	AGU54107.1	esxB	-2.912546772312391	4.967476623408244e-4	-5.491416883071343
RSAU_000236	hypothetical protein	lcl_CP006706.1_prot_AGU54108.1_224	2	lcl_CP006706.1_prot_AGU54108.1_224	225	223.2430833333333	AGU54108.1	NA	-1.799380489732668	0.004820457067424191	-3.73359745553244
RSAU_000237	hypothetical protein	lcl_CP006706.1_prot_AGU54109.1_225	5	lcl_CP006706.1_prot_AGU54109.1_225	105	1219.790171875	AGU54109.1	NA	-5.709806529638145	9.03963875790907e-6	-7.916939987674401
RSAU_000238	transposase	lcl_CP006706.1_prot_AGU54110.1_226	18	lcl_CP006706.1_prot_AGU54110.1_226	614	664.5113277777778	AGU54110.1	NA	-1.494936549309178	2.341004366706894e-4	-5.329006677563278
RSAU_000239	hypothetical protein	lcl_CP006706.1_prot_AGU54111.1_227	12	lcl_CP006706.1_prot_AGU54111.1_227	163	17211.286143181816	AGU54111.1	NA	-0.2494310681699922	0.1746139746365407	-1.682920624131277
RSAU_000240	lipoprotein, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000241	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000242	hypothetical protein	lcl_CP006706.1_prot_AGU54114.1_230	3	lcl_CP006706.1_prot_AGU54114.1_230	166	718.8210035714286	AGU54114.1	NA	0.7343385680530384	0.2219544590402129	1.518366394185155
RSAU_000243	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000244	lipoprotein, putative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RSAU_000245	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
